x-coordinates,y-coordinates
0.865961,-0.010695
0.873418,-0.010188
0.880773,-0.009686
0.888021,-0.00919
0.895156,-0.0087
0.902171,-0.008216
0.909061,-0.00774
0.915817,-0.007271
0.922433,-0.00681
0.928901,-0.006358
0.935212,-0.005915
0.941357,-0.005483
0.947326,-0.005061
0.953107,-0.004651
0.958688,-0.004253
0.964056,-0.003869
0.969195,-0.003501
0.974086,-0.003148
0.978711,-0.002814
0.983043,-0.0025
0.987052,-0.002208
0.990701,-0.001942
0.993938,-0.001705
0.996688,-0.001504
0.998825,-0.001347
1,-0.00126
